name,price,first_name,last_name,above_100
melissa smith,87.97994846,Melissa,Smith,
kristen floyd,135.02304130000002,Kristen,Floyd,true
william diaz,192.1491355,William,Diaz,true
benjamin smith,134.9052939,Benjamin,Smith,true
david glenn,216.2910463,David,Glenn,true
dawn jones,271.6144999,Dawn,Jones,true
joel smith,14.4949198,Joel,Smith,
larry grimes,268.6758682,Larry,Grimes,true
joseph arnold,121.77504679999998,Joseph,Arnold,true
kyle long,241.62163909999998,Kyle,Long,true
brittany day,261.5460574,Brittany,Day,true
bobby ward,63.5130358,Bobby,Ward,
thomas lee,254.07557709999998,Thomas,Lee,true
jennifer hansen,101.48873520000001,Jennifer,Hansen,true
lisa murray,176.0919174,Lisa,Murray,true
meghan wade,273.2303409,Meghan,Wade,true
tammie brooks,84.88856949,Tammie,Brooks,
maria bell,264.07466519999997,Maria,Bell,true
allison livingston,130.3484426,Allison,Livingston,true
chris hays,17.34276379,Chris,Hays,
courtney mitchell,78.93257699,Courtney,Mitchell,
shawn white,188.0219256,Shawn,White,true
taylor gomez,225.01982369999996,Taylor,Gomez,true
jeremy rodriguez,200.7248208,Jeremy,Rodriguez,true
april garcia,66.24555967,April,Garcia,
zachary watts,15.49738786,Zachary,Watts,
sarah montoya,206.82125469999997,Sarah,Montoya,true
jennifer barker,89.18615989,Jennifer,Barker,
sharon garza,72.35772704,Sharon,Garza,
tiffany stevens,196.379322,Tiffany,Stevens,true
ruben armstrong,93.69836738,Ruben,Armstrong,
jeffrey spencer,271.162282,Jeffrey,Spencer,true
nicole ramsey,247.8596071,Nicole,Ramsey,true
anne roy,277.9324821000001,Anne,Roy,true
lori sanchez,285.6616405,Lori,Sanchez,true
allison chavez,126.85021100000002,Allison,Chavez,true
marcus adams,36.47040894,Marcus,Adams,
mary smith,16.31507197,Mary,Smith,
joseph reed,178.45767419999999,Joseph,Reed,true
jason armstrong,26.04525746,Jason,Armstrong,
jeff armstrong,88.47561284,Jeff,Armstrong,
sean shields,247.83952549999998,Sean,Shields,true
jessica allison,104.742308,Jessica,Allison,true
christian grant,99.11707917,Christian,Grant,
edward watson,180.35355890000002,Edward,Watson,true
derrick cooke,142.090116,Derrick,Cooke,true
arthur hall,235.9669749,Arthur,Hall,true
sean patrick,139.4507994,Sean,Patrick,true
heather collins,127.39257340000002,Heather,Collins,true
megan gomez,107.86244509999999,Megan,Gomez,true
william hale,114.6709254,William,Hale,true
olivia thompson,8.608441014,Olivia,Thompson,
lori torres,18.85827433,Lori,Torres,
vickie hernandez,214.9321807,Vickie,Hernandez,true
kimberly brown,40.3199327,Kimberly,Brown,
sherry meza,182.8545499,Sherry,Meza,true
phillip hansen,44.11611704,Phillip,Hansen,
jeanette knight,28.68694329,Jeanette,Knight,
kayla hanson,27.63036397,Kayla,Hanson,
james johnston,284.4290554,James,Johnston,true
john porter,53.72799274,John,Porter,
elizabeth reyes,93.68075684,Elizabeth,Reyes,
kristen henry,77.00624357,Kristen,Henry,
claudia anderson,160.3401593,Claudia,Anderson,true
nicholas webb,18.71038619,Nicholas,Webb,
allison cooper,206.04210680000003,Allison,Cooper,true
zachary barnes,280.7741315,Zachary,Barnes,true
gregory hill iii,265.9765808,Gregory,Hill,true
terry ayers,16.51163899,Terry,Ayers,
jessica wilson,290.4095461,Jessica,Wilson,true
daniel frazier,190.3291917,Daniel,Frazier,true
brian welch,218.2505083,Brian,Welch,true
carol chavez,123.18344270000001,Carol,Chavez,true
ethan mcdonald,214.35031740000002,Ethan,Mcdonald,true
gerald martinez,57.54786356,Gerald,Martinez,
eric king,59.87926423,Eric,King,
sylvia walters,110.94631319999999,Sylvia,Walters,true
jonathan lane,64.46710142,Jonathan,Lane,
matthew turner,180.26287019999998,Matthew,Turner,true
jeffrey bauer,30.51584181,Jeffrey,Bauer,
jessica shaffer,54.90193651,Jessica,Shaffer,
chris spencer,251.3752831,Chris,Spencer,true
mary clarke,236.0529879,Mary,Clarke,true
timothy mendoza,105.98348159999999,Timothy,Mendoza,true
alicia hoffman,182.343699,Alicia,Hoffman,true
joseph gardner,144.8091344,Joseph,Gardner,true
rachael rangel,297.94964060000007,Rachael,Rangel,true
jeffrey harrington,194.27163380000002,Jeffrey,Harrington,true
sophia randolph,158.543126,Sophia,Randolph,true
debbie freeman,275.8719167,Debbie,Freeman,true
matthew braun,201.7749657,Matthew,Braun,true
sheri hudson,268.3748402,Sheri,Hudson,true
mary king,204.0785754,Mary,King,true
beth davis,155.0680648,Beth,Davis,true
margaret castillo,193.9063244,Margaret,Castillo,true
tommy sandoval,172.283041,Tommy,Sandoval,true
christopher hines,46.55435299,Christopher,Hines,
richard wright,208.35969690000002,Richard,Wright,true
michael brown,278.52308860000005,Michael,Brown,true
nathan yu,134.1895098,Nathan,Yu,true
cameron ford,248.89213819999998,Cameron,Ford,true
carla hayes,265.3745759,Carla,Hayes,true
marissa matthews,136.09257769999996,Marissa,Matthews,true
samuel thompson,237.15924159999997,Samuel,Thompson,true
gary figueroa,168.94476840000002,Gary,Figueroa,true
michael west,146.88868490000002,Michael,West,true
martin walton,140.3400576,Martin,Walton,true
zachary lee,8.667301582999999,Zachary,Lee,
christopher stephenson,67.01185633,Christopher,Stephenson,
eric ortiz,117.72424579999999,Eric,Ortiz,true
kara pittman,56.23964364,Kara,Pittman,
andrew cowan,295.9391812,Andrew,Cowan,true
rhonda moss,259.03975049999997,Rhonda,Moss,true
sarah williams,92.82627714,Sarah,Williams,
carolyn collins,236.24728880000004,Carolyn,Collins,true
larry mooney,135.2701794,Larry,Mooney,true
laura livingston,294.25806989999995,Laura,Livingston,true
candace mckenzie,84.58145758,Candace,Mckenzie,
candace wallace,124.74645430000001,Candace,Wallace,true
jason white,218.43180409999997,Jason,White,true
patricia reynolds,89.01176826,Patricia,Reynolds,
michael ellison,244.47171060000002,Michael,Ellison,true
melissa robles,238.45609669999996,Melissa,Robles,true
heidi fry,109.6264717,Heidi,Fry,true
james smith,163.95738559999998,James,Smith,true
charles ruiz,48.45811847,Charles,Ruiz,
stephanie green,9.144974191000001,Stephanie,Green,
stacey garcia,106.61920390000002,Stacey,Garcia,true
glenda burke,206.3635063,Glenda,Burke,true
zachary alvarez,104.052369,Zachary,Alvarez,true
rachel shaw,2.448211506,Rachel,Shaw,
carmen beard,269.623685,Carmen,Beard,true
tony daniels,186.90357749999998,Tony,Daniels,true
randy mora,70.74105982,Randy,Mora,
george aguirre,128.9497508,George,Aguirre,true
james miller,297.0405639,James,Miller,true
jacqueline williams,17.30622156,Jacqueline,Williams,
april taylor,121.2898903,April,Taylor,true
robert johnson,131.62377790000002,Robert,Johnson,true
gary white,280.9706506,Gary,White,true
kim lowe,192.7758756,Kim,Lowe,true
samantha jones,136.3415564,Samantha,Jones,true
randy lozano,16.30104965,Randy,Lozano,
arthur chavez,6.903795238,Arthur,Chavez,
melissa miller,162.6066945,Melissa,Miller,true
leslie mccormick,282.5021066,Leslie,Mccormick,true
carlos rubio,63.21802404,Carlos,Rubio,
david york,86.53219266,David,York,
gabriella anthony,7.638645405,Gabriella,Anthony,
olivia poole,117.85417199999999,Olivia,Poole,true
wayne wilson,74.67047228,Wayne,Wilson,
elizabeth moore,267.3988136,Elizabeth,Moore,true
janice campbell,33.4533981,Janice,Campbell,
julie johnson,63.64156782,Julie,Johnson,
misty cantrell,189.0392091,Misty,Cantrell,true
robert soto,109.0138357,Robert,Soto,true
brenda cowan,60.84957659,Brenda,Cowan,
kelly guerrero,259.5112157,Kelly,Guerrero,true
david nichols,19.48524858,David,Nichols,
kayla taylor,186.2356283,Kayla,Taylor,true
antonio garcia,125.47721259999999,Antonio,Garcia,true
tyler cisneros,186.58982949999998,Tyler,Cisneros,true
jillian crawford,158.8172773,Jillian,Crawford,true
karl pierce,132.7746811,Karl,Pierce,true
joann taylor,276.9621962,Joann,Taylor,true
jennifer jenkins,59.12858208,Jennifer,Jenkins,
nancy brown,78.87073418,Nancy,Brown,
emma munoz,120.8428757,Emma,Munoz,true
shawn galloway,141.0298622,Shawn,Galloway,true
melissa mcguire,213.08212039999998,Melissa,Mcguire,true
bryan chavez,125.396156,Bryan,Chavez,true
fernando salazar,256.1537305,Fernando,Salazar,true
megan moore,251.34779849999998,Megan,Moore,true
robert williams,175.209725,Robert,Williams,true
dennis sanford,29.45043264,Dennis,Sanford,
kimberly herrera,154.8076505,Kimberly,Herrera,true
gloria potts,289.1049353,Gloria,Potts,true
suzanne barnett,8.470995351000001,Suzanne,Barnett,
leah myers,44.5579739,Leah,Myers,
kylie thomas,13.45341602,Kylie,Thomas,
amanda murphy,50.55321552,Amanda,Murphy,
christopher matthews,282.3634971,Christopher,Matthews,true
nicole parks,52.28399767,Nicole,Parks,
bobby martin,205.4899695,Bobby,Martin,true
kevin chambers,121.17110159999999,Kevin,Chambers,true
kimberly lawson,250.2880742,Kimberly,Lawson,true
rachel lopez,101.8881123,Rachel,Lopez,true
christopher clay,219.3845088,Christopher,Clay,true
daniel martin,0.30019336,Daniel,Martin,
william taylor,66.55747014,William,Taylor,
steven johnson,111.293282,Steven,Johnson,true
daniel miller,80.57756789,Daniel,Miller,
taylor bryant,187.6315408,Taylor,Bryant,true
lauren jones,194.7926312,Lauren,Jones,true
lindsey robertson,22.73764686,Lindsey,Robertson,
allison thomas,168.33349750000002,Allison,Thomas,true
vernon bishop,216.1870446,Vernon,Bishop,true
susan parsons,132.918526,Susan,Parsons,true
brady snyder,210.39608629999998,Brady,Snyder,true
brent mcgrath,174.69835669999998,Brent,Mcgrath,true
peter smith,278.60801810000004,Peter,Smith,true
deborah fox,248.12282340000002,Deborah,Fox,true
heather collins,147.4274074,Heather,Collins,true
phillip meyers,102.7977472,Phillip,Meyers,true
nicholas hubbard,275.40083639999995,Nicholas,Hubbard,true
misty ramirez,62.31681444,Misty,Ramirez,
scott johnson,85.87388958,Scott,Johnson,
jay nixon,253.46747870000002,Jay,Nixon,true
tony hall,61.19716522,Tony,Hall,
taylor smith,41.49264584,Taylor,Smith,
mark reynolds,70.49794436,Mark,Reynolds,
marilyn christensen,155.48545330000002,Marilyn,Christensen,true
denise atkins,185.451601,Denise,Atkins,true
melissa gonzales,228.0025997,Melissa,Gonzales,true
henry hoffman,229.6628876,Henry,Hoffman,true
daisy davenport,59.52753518,Daisy,Davenport,
christopher paul,122.7131699,Christopher,Paul,true
kevin craig,148.20105159999997,Kevin,Craig,true
natalie coleman,122.14404520000001,Natalie,Coleman,true
jeremy strickland,130.8435662,Jeremy,Strickland,true
gary bonilla,162.6152534,Gary,Bonilla,true
amanda richards,236.5957164,Amanda,Richards,true
heidi perez,245.17572280000002,Heidi,Perez,true
robert johnson,174.69223459999998,Robert,Johnson,true
gary mills,183.8363212,Gary,Mills,true
chelsea caldwell,16.12083718,Chelsea,Caldwell,
john frye,223.27741749999998,John,Frye,true
michael strong,220.41223219999998,Michael,Strong,true
christopher delgado,85.78279752,Christopher,Delgado,
whitney wallace,253.45561830000003,Whitney,Wallace,true
rebecca martinez,59.68320226,Rebecca,Martinez,
marissa mccoy,116.9634653,Marissa,Mccoy,true
ricky kerr,38.99584409,Ricky,Kerr,
anna campbell,249.92134040000002,Anna,Campbell,true
marie walters,73.38808729,Marie,Walters,
robert martin,38.22288302,Robert,Martin,
marc davis,162.2802619,Marc,Davis,true
james dixon,159.37943280000002,James,Dixon,true
vicki ramirez,186.1602427,Vicki,Ramirez,true
krista campbell,161.2338436,Krista,Campbell,true
lauren patterson,170.2123273,Lauren,Patterson,true
megan clark,290.2581556,Megan,Clark,true
judy zimmerman,219.58882549999998,Judy,Zimmerman,true
joseph willia,210.7841859,Joseph,Willia,true
lori acevedo,210.6602899,Lori,Acevedo,true
william taylor,275.6331763,William,Taylor,true
dawn snyder,248.98404169999998,Dawn,Snyder,true
jennifer simmons,80.68353707,Jennifer,Simmons,
alyssa nunez,163.80090019999997,Alyssa,Nunez,true
robert black,63.92800482,Robert,Black,
julia young,239.2396683,Julia,Young,true
melinda barnes,227.2506352,Melinda,Barnes,true
brett armstrong,154.1341836,Brett,Armstrong,true
erik stevenson,246.0040722,Erik,Stevenson,true
daniel george,34.80089308,Daniel,George,
lindsey jones,197.7020395,Lindsey,Jones,true
virginia lopez,227.4255915,Virginia,Lopez,true
andrew brown,92.88318049,Andrew,Brown,
donna lowery,264.8326094,Donna,Lowery,true
alexis andrade,6.313985183,Alexis,Andrade,
alyssa pierce,47.74032516,Alyssa,Pierce,
tara johnson,38.26768696,Tara,Johnson,
michael brady,162.0594322,Michael,Brady,true
james rhodes,51.92414009,James,Rhodes,
pamela scott,42.43333392,Pamela,Scott,
martin ward,170.94982480000002,Martin,Ward,true
kristina hernandez,107.69157179999999,Kristina,Hernandez,true
robert bush,87.18004191,Robert,Bush,
rebecca larson,214.3895725,Rebecca,Larson,true
brittany watson,190.520018,Brittany,Watson,true
ryan ramirez,249.7287913,Ryan,Ramirez,true
edward burns,87.64996993,Edward,Burns,
john prince,31.73842034,John,Prince,
ashley boyer,107.6625992,Ashley,Boyer,true
james dean,61.6954542,James,Dean,
natalie gordon,268.2800094,Natalie,Gordon,true
ryan smith,136.207813,Ryan,Smith,true
stephen thompson,54.29639714,Stephen,Thompson,
william delgado,96.25442517,William,Delgado,
brian johnson,124.929208,Brian,Johnson,true
james patel,216.6056429,James,Patel,true
allen rogers,145.4342467,Allen,Rogers,true
aimee reyes,277.6656815,Aimee,Reyes,true
susan williams,255.21535319999995,Susan,Williams,true
edward griffin,108.62052220000001,Edward,Griffin,true
debra baker,296.5003089,Debra,Baker,true
yvette kramer,279.9371174,Yvette,Kramer,true
alyssa willia,270.8972241,Alyssa,Willia,true
john cunningham,173.0242833,John,Cunningham,true
dana gilbert,86.51917139,Dana,Gilbert,
stephen henry,146.15155780000003,Stephen,Henry,true
bradley james,137.9824935,Bradley,James,true
melinda peters,16.83003044,Melinda,Peters,
robert goodman,213.54239840000002,Robert,Goodman,true
leslie moore,195.96307990000003,Leslie,Moore,true
sarah gray,270.79472880000003,Sarah,Gray,true
amy haynes,258.5062773,Amy,Haynes,true
gary dean,184.425152,Gary,Dean,true
jonathan duran,224.5361417,Jonathan,Duran,true
elizabeth ruiz,124.66944950000001,Elizabeth,Ruiz,true
caitlin lewis,196.3598959,Caitlin,Lewis,true
micheal blackburn,10.44317525,Micheal,Blackburn,
sheryl mccarthy,159.9519731,Sheryl,Mccarthy,true
lisa smith,150.9122679,Lisa,Smith,true
jared juarez,247.56064569999998,Jared,Juarez,true
brett castro,217.3328585,Brett,Castro,true
jessica murray,175.30221840000002,Jessica,Murray,true
austin coffey,16.25913962,Austin,Coffey,
shelly jacobs,3.8567620519999997,Shelly,Jacobs,
elizabeth logan,298.74232810000007,Elizabeth,Logan,true
cody anderson,128.0814967,Cody,Anderson,true
kayla wood,256.05287599999997,Kayla,Wood,true
paul singh,157.9636169,Paul,Singh,true
james mays,245.24330719999998,James,Mays,true
thomas moore,244.5914982,Thomas,Moore,true
linda pacheco,299.60400699999997,Linda,Pacheco,true
jenny clark,66.32311808,Jenny,Clark,
patrick guzman,223.49659810000003,Patrick,Guzman,true
scott peters,229.487331,Scott,Peters,true
john stevenson,23.09927229,John,Stevenson,
kristina brooks,154.68058259999998,Kristina,Brooks,true
nancy aguilar,63.38787527,Nancy,Aguilar,
robert brown,132.73295359999997,Robert,Brown,true
jessica williams,255.95815770000002,Jessica,Williams,true
david brown,290.59448060000005,David,Brown,true
dorothy munoz,242.56454,Dorothy,Munoz,true
jason lawson,76.09246622,Jason,Lawson,
james hall,167.9698314,James,Hall,true
patricia carpenter,46.08147123,Patricia,Carpenter,
jeff cardenas,64.36052627,Jeff,Cardenas,
michelle johnson,19.18945036,Michelle,Johnson,
frank madden,17.34021424,Frank,Madden,
george tanner,291.4292653,George,Tanner,true
dylan johnson,40.65328581,Dylan,Johnson,
pamela king,282.4817647,Pamela,King,true
jesse frazier,95.66568525,Jesse,Frazier,
edward russell,103.2235913,Edward,Russell,true
diana mcdonald,183.096436,Diana,Mcdonald,true
randy dawson,192.1441514,Randy,Dawson,true
jasmine williams,286.16923360000004,Jasmine,Williams,true
robert smith,124.219007,Robert,Smith,true
sara young,183.9944858,Sara,Young,true
samantha gonzalez,205.5899257,Samantha,Gonzalez,true
christina torres,286.2681619,Christina,Torres,true
maria bailey,141.9076294,Maria,Bailey,true
charles bartlett,94.22658657,Charles,Bartlett,
natalie parker,238.01615890000002,Natalie,Parker,true
paula hernandez,48.88381678,Paula,Hernandez,
jessica jenkins,14.94777896,Jessica,Jenkins,
drew henson,223.07613089999998,Drew,Henson,true
michael davis,17.98090899,Michael,Davis,
ian ramos,23.68465648,Ian,Ramos,
anna wright,235.5824596,Anna,Wright,true
ashley anderson,74.40865878,Ashley,Anderson,
jennifer wright,298.1278773,Jennifer,Wright,true
nicole lopez,67.72888616,Nicole,Lopez,
tara ellis,21.92761435,Tara,Ellis,
hannah elliott,42.35003061,Hannah,Elliott,
gavin rodriguez,116.36642420000001,Gavin,Rodriguez,true
johnny jackson,291.5968901,Johnny,Jackson,true
martin garrett,147.06705559999997,Martin,Garrett,true
terri hayes,167.36096730000003,Terri,Hayes,true
adam huang,260.8409357,Adam,Huang,true
carolyn garner,104.41065350000001,Carolyn,Garner,true
lisa lee,130.22025109999998,Lisa,Lee,true
rodney escobar,8.711600244,Rodney,Escobar,
michael johnson,144.5450063,Michael,Johnson,true
michelle carter,55.94822858,Michelle,Carter,
john dunn,81.5436983,John,Dunn,
terry pierce,297.86618239999996,Terry,Pierce,true
david buck,258.79109040000003,David,Buck,true
jennifer newman,149.30963630000002,Jennifer,Newman,true
cynthia lee,246.5934196,Cynthia,Lee,true
sylvia clark,299.52523510000003,Sylvia,Clark,true
joseph taylor,86.08285036,Joseph,Taylor,
kathleen barton,37.42180870000001,Kathleen,Barton,
michael harris,52.86340979,Michael,Harris,
eric benson,172.1967218,Eric,Benson,true
curtis butler,44.51322087,Curtis,Butler,
brittany le,51.04878875,Brittany,Le,
jeremiah sims,101.161794,Jeremiah,Sims,true
david davis,290.4227547,David,Davis,true
tiffany bond,181.4895479,Tiffany,Bond,true
patricia chen,61.60059465,Patricia,Chen,
william crawford,181.76037490000002,William,Crawford,true
christina roberts,29.28680092,Christina,Roberts,
jerome scott,232.1441336,Jerome,Scott,true
jeffery walker,272.0840276,Jeffery,Walker,true
todd alvarez,212.17336319999998,Todd,Alvarez,true
john henry,223.9911858,John,Henry,true
james miles,156.36757780000002,James,Miles,true
michael downs,31.19720611,Michael,Downs,
kayla wheeler,6.095911005,Kayla,Wheeler,
charles martin,161.27522869999999,Charles,Martin,true
harold bennett,135.04235500000001,Harold,Bennett,true
michael swanson,200.39235280000003,Michael,Swanson,true
janet mcdonald,79.80353707,Janet,Mcdonald,
brett willis,244.40641150000002,Brett,Willis,true
jacob smith,27.92322882,Jacob,Smith,
alexa webb,167.5688585,Alexa,Webb,true
louis klein,40.12200004,Louis,Klein,
tony yu,15.74238645,Tony,Yu,
lisa goodman,121.07840959999999,Lisa,Goodman,true
kimberly hernandez,36.97352302,Kimberly,Hernandez,
phillip friedman,145.84183080000003,Phillip,Friedman,true
brian lam,2.900394487,Brian,Lam,
kristin wilkins,251.8510287,Kristin,Wilkins,true
joshua lynch,188.87811100000002,Joshua,Lynch,true
blake mclaughlin,276.65121569999997,Blake,Mclaughlin,true
billy olsen,10.00480704,Billy,Olsen,
shawn brock,179.61580859999998,Shawn,Brock,true
danielle jones,222.69520759999997,Danielle,Jones,true
jim gomez,60.12919733,Jim,Gomez,
sabrina henderson,178.7453853,Sabrina,Henderson,true
david pennington,245.3184012,David,Pennington,true
deborah williams,137.015971,Deborah,Williams,true
stephanie bowman,227.0047204,Stephanie,Bowman,true
joseph frazier,176.45330230000002,Joseph,Frazier,true
ryan mclaughlin,249.86437599999996,Ryan,Mclaughlin,true
tony hall,135.8550959,Tony,Hall,true
timothy martin,289.2653637,Timothy,Martin,true
john obrien,261.8481216,John,Obrien,true
barbara johnson,53.80589508,Barbara,Johnson,
brandon marshall,139.84778269999998,Brandon,Marshall,true
carrie miller,11.55550873,Carrie,Miller,
samantha dean,261.61934069999995,Samantha,Dean,true
jamie wilson,87.74932378,Jamie,Wilson,
carlos acosta,236.6035296,Carlos,Acosta,true
amy bennett,228.74945780000002,Amy,Bennett,true
dominique wells,116.64359540000001,Dominique,Wells,true
sarah bright,237.51607830000003,Sarah,Bright,true
michael barton,111.5883392,Michael,Barton,true
rebecca anderson,172.3062642,Rebecca,Anderson,true
megan riggs,31.41542458,Megan,Riggs,
whitney andrews,44.1176993,Whitney,Andrews,
catherine jones,127.0135122,Catherine,Jones,true
william andrews,236.21807630000004,William,Andrews,true
kathleen edwards,158.32395380000003,Kathleen,Edwards,true
roger frost,220.46888739999997,Roger,Frost,true
justin johnson,255.8491608,Justin,Johnson,true
valerie young,265.1702577,Valerie,Young,true
samantha perez,239.94697969999999,Samantha,Perez,true
devin allen,72.15833791,Devin,Allen,
stephanie little,238.9238728,Stephanie,Little,true
melanie miller,27.5070475,Melanie,Miller,
erica beck,2.4085263969999997,Erica,Beck,
toni dunn,168.37336200000001,Toni,Dunn,true
eric dunn,211.89758909999998,Eric,Dunn,true
david jackson,169.3550529,David,Jackson,true
melanie gates,94.66629008,Melanie,Gates,
heather pierce,17.41061969,Heather,Pierce,
jordan lewis,153.01461740000002,Jordan,Lewis,true
michele johnson,255.7149801,Michele,Johnson,true
samantha ryan,249.4925261,Samantha,Ryan,true
christopher hudson,201.9997518,Christopher,Hudson,true
zachary williams,106.59921640000002,Zachary,Williams,true
donna davis,66.72879991,Donna,Davis,
jordan erickson,237.7720748,Jordan,Erickson,true
christopher nolan,88.74278259999998,Christopher,Nolan,
evelyn hanna,11.36458787,Evelyn,Hanna,
jason johnson,250.23147020000002,Jason,Johnson,true
barbara caldwell,224.7115849,Barbara,Caldwell,true
ronald huff,7.2205434639999995,Ronald,Huff,
holly norris,216.2305109,Holly,Norris,true
derrick carter,11.83791299,Derrick,Carter,
kenneth golden,285.8508169,Kenneth,Golden,true
grace edwards,70.08655795,Grace,Edwards,
jonathan rios,57.71259736,Jonathan,Rios,
mackenzie miller,265.5941732,Mackenzie,Miller,true
tammy taylor,138.8559857,Tammy,Taylor,true
reginald king,207.33056059999998,Reginald,King,true
matthew fletcher,130.5591612,Matthew,Fletcher,true
elizabeth jordan,177.7124355,Elizabeth,Jordan,true
sally santiago,45.11902986,Sally,Santiago,
james johnson,12.89573538,James,Johnson,
jason saunders,242.8437386,Jason,Saunders,true
carol hernandez,4.6243706410000005,Carol,Hernandez,
kendra dawson,291.5212704,Kendra,Dawson,true
james hess,58.42698092,James,Hess,
michael stokes,25.51886602,Michael,Stokes,
jeffrey martinez,147.6903791,Jeffrey,Martinez,true
joseph bell,102.9874282,Joseph,Bell,true
pamela black,140.71938899999998,Pamela,Black,true
robert jordan,100.4711011,Robert,Jordan,true
kathy baker,263.5511899,Kathy,Baker,true
brian bailey,115.36283159999999,Brian,Bailey,true
mitchell clark,190.2857937,Mitchell,Clark,true
kelly mcintyre,168.73442690000002,Kelly,Mcintyre,true
susan ali,260.5821259,Susan,Ali,true
latoya gonzales,205.04242219999998,Latoya,Gonzales,true
olivia mayo,251.53931630000002,Olivia,Mayo,true
thomas anderson,221.03202140000002,Thomas,Anderson,true
todd jennings,182.3938507,Todd,Jennings,true
paul dixon,22.25760841,Paul,Dixon,
julie torres,130.6787559,Julie,Torres,true
james miller,202.22964919999998,James,Miller,true
john howard,80.73869922,John,Howard,
anne savage,134.04054969999999,Anne,Savage,true
richard wilson,226.89171340000001,Richard,Wilson,true
amber esparza,187.5777824,Amber,Esparza,true
todd armstrong,99.18946135,Todd,Armstrong,
aaron richardson,118.4556824,Aaron,Richardson,true
gregory pollard,234.13823680000002,Gregory,Pollard,true
jon butler,225.7678307,Jon,Butler,true
chelsea madden,116.6229213,Chelsea,Madden,true
misty ramos,234.0837103,Misty,Ramos,true
ryan murphy,233.787281,Ryan,Murphy,true
brittany sandoval,259.1615163,Brittany,Sandoval,true
rose stanton,132.5843724,Rose,Stanton,true
kristen banks,287.0092393,Kristen,Banks,true
julia stokes,140.3125662,Julia,Stokes,true
paul phillips,186.00436499999998,Paul,Phillips,true
amber thompson,128.4038652,Amber,Thompson,true
valerie norton,278.473292,Valerie,Norton,true
adam parker,228.1780449,Adam,Parker,true
jennifer gonzales,201.95772230000003,Jennifer,Gonzales,true
jacqueline hernandez,260.086074,Jacqueline,Hernandez,true
cory walker,276.89516610000004,Cory,Walker,true
jennifer miller,220.5202145,Jennifer,Miller,true
dawn bond,270.36049049999997,Dawn,Bond,true
tara daniel,247.69265519999996,Tara,Daniel,true
rebecca thompson,136.49071519999998,Rebecca,Thompson,true
victor serrano,260.1217048,Victor,Serrano,true
elizabeth bell,55.22085799999999,Elizabeth,Bell,
julie coleman,122.6292673,Julie,Coleman,true
jennifer brown,8.634621797000001,Jennifer,Brown,
jessica moore,266.6472363,Jessica,Moore,true
john ramirez,160.9401531,John,Ramirez,true
becky hall,271.1221772,Becky,Hall,true
christine smith,295.80399,Christine,Smith,true
christopher osborne,146.2329234,Christopher,Osborne,true
jacob hernandez,7.999586637999999,Jacob,Hernandez,
jennifer rogers,128.5133967,Jennifer,Rogers,true
tammy young,19.64948762,Tammy,Young,
james lewis,56.04829693,James,Lewis,
charles stanley,74.1148732,Charles,Stanley,
christina garcia,85.95341522,Christina,Garcia,
heather davis,74.29698857,Heather,Davis,
ashley fuentes,228.88080440000002,Ashley,Fuentes,true
jorge brown,2.668016258,Jorge,Brown,
